path,fname,label,w,h,img_mode,n_masks,mask_paths,md5,phash,group,conflict,split,fold
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (108).png,benign (108).png,benign,769,582,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (108)_mask.png,dc08583bb3311d9ac38724d0fcd5a134,80a00ccc339effdd,10,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (109).png,benign (109).png,benign,562,470,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (109)_mask.png,e1dce99d6d14432ba4a0ef4b86d70d6f,a1bcc5c3783c079b,11,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (11).png,benign (11).png,benign,689,587,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (11)_mask.png,b4f7afd6b737975f89ed16ee99aeef3f,c1a71cd82dbbc346,254,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (110).png,benign (110).png,benign,555,468,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (110)_mask.png,9a0522e2779f1f2d4796f2c2f3e25c3e,cbeb349d8781a1b2,13,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (111).png,benign (111).png,benign,315,477,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (111)_mask.png,c3c9c4afed342db784faee2702296994,bae8cc1212e0ecfd,14,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (112).png,benign (112).png,benign,652,612,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (112)_mask.png,557a92b3c1687803afc47ddd5cb609cf,c3ccb4263383a6fc,15,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (113).png,benign (113).png,benign,810,695,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (113)_mask.png,6bfb2e6d94743bc7396039feeda3eb0b,90ac76537b626565,16,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (114).png,benign (114).png,benign,757,575,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (114)_mask.png,ac0fec8581dea2818d858a48b887273d,80a22ecc219afbfd,17,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (115).png,benign (115).png,benign,554,469,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (115)_mask.png,108123991b2037f1d0c55423ef1eeee6,94e43359daa4d89b,18,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (116).png,benign (116).png,benign,766,588,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (116)_mask.png,02060263d3d44263e308cd0aea5ea10c,80a02ec96a9afbbd,19,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (117).png,benign (117).png,benign,806,688,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (117)_mask.png,2c3b66335b832c4048334d02397ebceb,8eaa621d357d6a4a,20,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (118).png,benign (118).png,benign,653,620,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (118)_mask.png,0476546606d29ef5ec848e8e10a136a2,f9a393c0066e4fd1,21,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (119).png,benign (119).png,benign,762,585,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (119)_mask.png,50b06eb392f7345466a7c109c81c72a3,88a027c3689afbbd,22,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (12).png,benign (12).png,benign,678,571,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (12)_mask.png,72dc7812c39ccf5b5d6a48ff7a5247ba,a5d25a3d62c494be,255,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (120).png,benign (120).png,benign,808,695,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (120)_mask.png,ae3214e1c8715e6337988ec3683adacd,eaaa1f3770701c0f,24,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (121).png,benign (121).png,benign,646,610,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (121)_mask.png,6e965c277562c4af0d30fcc482422f70,a5a5c69a9b18d8d9,25,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (122).png,benign (122).png,benign,774,577,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (122)_mask.png,e4b22204257beb368dfd6abbd6d96ee1,88a0a7c36092dfbf,26,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (123).png,benign (123).png,benign,648,610,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (123)_mask.png,bfa148b2cd0ece57f7fcbf622ff1754f,e79d9411236b6d64,27,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (124).png,benign (124).png,benign,645,614,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (124)_mask.png,bb4c04a9a103ff187ac637f60d396287,c2e1170e3d45c33f,28,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (125).png,benign (125).png,benign,756,578,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (125)_mask.png,34fa57deca11cfee61adf03b3490892a,c3b8bcc668f1788c,29,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (126).png,benign (126).png,benign,771,570,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (126)_mask.png,2845882eba1c7ea4f39612cc7008608a,c2b93dce6ab1710c,30,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (127).png,benign (127).png,benign,558,476,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (127)_mask.png,4509b0b11b852b50bfb94d4596789e5e,eea8b19786869393,300,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (128).png,benign (128).png,benign,549,475,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (128)_mask.png,2b4cd8641739401ccaef2a58f22f2eb4,a0a8f95fce8ec2c2,223,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (129).png,benign (129).png,benign,775,587,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (129)_mask.png,a968025550958a8fb3cec0702cf0a3c3,b3984c47e7b038ba,376,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (13).png,benign (13).png,benign,678,571,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (13)_mask.png,27c89910d1275404d33b932e1f880b32,87f0c88b4f753c92,257,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (130).png,benign (130).png,benign,558,474,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (130)_mask.png,d4292daa8face9cf60bac17aa48a868b,a09e5fc2e1e14a9d,35,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (131).png,benign (131).png,benign,587,435,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (131)_mask.png,3acc02d377fbd431214eec899c999a52,91bdfc4b66c66121,594,True,excluded,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (132).png,benign (132).png,benign,552,483,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (132)_mask.png,a15c46bf7e0cf371d0d3b0f9780f7004,d1a4acc793939b83,311,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (133).png,benign (133).png,benign,369,342,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (133)_mask.png,509ef4c809d978e2339fa18cb4e9c24a,94f67849c1672e8e,384,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (134).png,benign (134).png,benign,378,345,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (134)_mask.png,c721e931c55361c124260a5d89450402,c68da1693b9ac6b2,385,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (135).png,benign (135).png,benign,776,582,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (135)_mask.png,d2e467317ec616a36899a0b1303c09fe,e7b87843878786c6,391,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (136).png,benign (136).png,benign,886,581,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (136)_mask.png,6d0d9a79172bfcd79a54fdf7d1ca9561,e59c6283d23cbcc3,383,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (137).png,benign (137).png,benign,777,578,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (137)_mask.png,df62ae4196b75cfa245cc88eee53582f,a5df7830021fcdc5,42,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (138).png,benign (138).png,benign,766,600,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (138)_mask.png,6bfaa1dc59698b8dba13172bd8010fda,a884f477aa2b1d8b,394,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (139).png,benign (139).png,benign,563,468,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (139)_mask.png,75551edc06bf0234529576617586dc89,d6e0298df2929ae9,436,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (14).png,benign (14).png,benign,699,531,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (14)_mask.png,b45abfb0db9c2862c4f3e006fac9ebfa,cd3112164ddceae3,258,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (140).png,benign (140).png,benign,452,591,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (140)_mask.png,823800b3f88f58645b37982bae9c9811,d5f4d59574051764,46,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (141).png,benign (141).png,benign,567,471,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (141)_mask.png,b84a967c6eff04546986a28df80fd54c,999ea6c990d3c1b9,47,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (142).png,benign (142).png,benign,785,582,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (142)_mask.png,6fe6a899a5bbdd6595c91b810ae56acb,e4a31b5e8ce4c399,48,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (143).png,benign (143).png,benign,554,467,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (143)_mask.png,36eec05bcc7bad0ba1eda189e4bddfab,81f43e703c8c87e7,49,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (144).png,benign (144).png,benign,770,580,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (144)_mask.png,22aef137d6ad3c4f88c5f22edd316299,90ecef3723c0ccd2,50,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (145).png,benign (145).png,benign,779,574,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (145)_mask.png,d04830a310cf15daa2d9ee349eb364ff,c1ad3e50058bbbec,51,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (146).png,benign (146).png,benign,449,594,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (146)_mask.png,4f3d7188e937c5371893b5e4b5fb3588,e18bba2e4a630d6d,52,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (147).png,benign (147).png,benign,564,463,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (147)_mask.png,be45ce97a09b3fb67620c5e2877207c5,9fe428006af6b79c,53,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (148).png,benign (148).png,benign,567,463,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (148)_mask.png,a83912dca9ad4e9e2b4e4af0161cdf39,eeb1318e8ece3071,54,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (149).png,benign (149).png,benign,557,468,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (149)_mask.png,12619f7e87cdde0f682db26ba9bea9bb,86f8e1871fb238d4,55,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (15).png,benign (15).png,benign,701,526,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (15)_mask.png,ac0c892066342baa91ab2ae2b3023dd5,8ef1760e03c4f1b9,259,False,test,-1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (150).png,benign (150).png,benign,671,570,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (150)_mask.png,71ca464fed65a888cbadb9770ac82cc3,9cf55042338cedda,100,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (151).png,benign (151).png,benign,560,469,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (151)_mask.png,52b19e9526173b333a20fa57d71b18ae,85c87a329ee5a5c9,67,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (152).png,benign (152).png,benign,555,471,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (152)_mask.png,787cd3031242cfee3f9e14ecdca6c0b3,97ecb294cd5b12a8,89,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (153).png,benign (153).png,benign,772,574,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (153)_mask.png,da9d4c386c5669d25e52dd52acf4dc08,cca624da5b1a4bcd,167,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (154).png,benign (154).png,benign,556,464,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (154)_mask.png,41d6a6839a806bca45bbaf9261926912,85ff7ab119818726,61,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (155).png,benign (155).png,benign,783,583,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (155)_mask.png,a40ae705dd85a7dacab8462e477e66bb,c0bbe74e3be1cc80,62,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (156).png,benign (156).png,benign,887,581,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (156)_mask.png,55312eeda1d002ed0989808cf5b17a18,d4e63b992976c6a0,63,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (157).png,benign (157).png,benign,567,465,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (157)_mask.png,ab0e3034452fafaa0f7ebfba0d7fc328,d6e0298df2929ae9,436,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (158).png,benign (158).png,benign,556,464,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (158)_mask.png,d0cc5ef9cc248cb8e724890e2ee788f1,c9af369d87c1a0b2,65,False,trainval,2
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (159).png,benign (159).png,benign,696,574,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (159)_mask.png,fb579e591513515ef896053abd212ebe,a9ff36a0448b6a9a,66,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (16).png,benign (16).png,benign,558,462,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (16)_mask.png,70efb94a91bed136cccfb9791de4efd0,85c87a329ae5a5cd,67,False,trainval,0
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (160).png,benign (160).png,benign,624,585,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (160)_mask.png,4b9563325587b5f6ebb3a3fe8f3fd866,f98c0e67437a12bc,68,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (161).png,benign (161).png,benign,568,463,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (161)_mask.png,c4422bb5893db85e77c0488f684deeba,8581fbb5d0f4b0aa,69,False,trainval,1
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (162).png,benign (162).png,benign,549,470,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (162)_mask.png,8c5e7d3c5dbabafc72efa7c72a93056f,c986365a39dd8ae2,70,False,trainval,4
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (163).png,benign (163).png,benign,779,576,RGB,2,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (163)_mask.png|/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (163)_mask_1.png,c629fc4db6f32245ac70cf71aa96ac4b,9bee74408969799c,422,False,trainval,3
/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (164).png,benign (164).png,benign,560,470,RGB,1,/kaggle/input/datasets/aryashah2k/breast-ultrasound-images-dataset/Dataset_BUSI_with_GT/benign/benign (164)_mask.png,98e6d6e9961757a61a2237ebdcf6fe91,97adf2f0c8c890b9,595,True,excluded,-1
