img_a,img_b,label_a,label_b,dist
benign (259).png,benign (280).png,benign,benign,4
benign (260).png,benign (281).png,benign,benign,2
benign (263).png,benign (278).png,benign,benign,2
benign (266).png,benign (279).png,benign,benign,2
benign (269).png,normal (1).png,benign,normal,2
benign (273).png,benign (289).png,benign,benign,0
benign (274).png,benign (290).png,benign,benign,0
benign (275).png,benign (297).png,benign,benign,2
benign (276).png,benign (287).png,benign,benign,2
benign (284).png,benign (285).png,benign,benign,2
benign (292).png,benign (293).png,benign,benign,2
benign (3).png,benign (320).png,benign,benign,2
benign (307).png,benign (419).png,benign,benign,4
benign (309).png,benign (422).png,benign,benign,0
benign (310).png,benign (423).png,benign,benign,4
benign (312).png,benign (421).png,benign,benign,0
benign (316).png,benign (426).png,benign,benign,2
benign (321).png,benign (4).png,benign,benign,4
benign (322).png,benign (5).png,benign,benign,0
benign (323).png,benign (6).png,benign,benign,2
benign (324).png,benign (7).png,benign,benign,2
benign (325).png,benign (8).png,benign,benign,0
benign (333).png,malignant (77).png,benign,malignant,4
benign (395).png,benign (411).png,benign,benign,2
benign (396).png,benign (413).png,benign,benign,2
benign (399).png,malignant (93).png,benign,malignant,0
benign (400).png,benign (412).png,benign,benign,2
benign (404).png,benign (415).png,benign,benign,4
benign (406).png,malignant (94).png,benign,malignant,2
benign (42).png,malignant (51).png,benign,malignant,0
benign (433).png,malignant (145).png,benign,malignant,0
benign (437).png,normal (34).png,benign,normal,2
benign (61).png,benign (94).png,benign,benign,2
benign (65).png,benign (99).png,benign,benign,2
benign (85).png,malignant (52).png,benign,malignant,2
malignant (10).png,malignant (112).png,malignant,malignant,2
malignant (109).png,malignant (13).png,malignant,malignant,4
malignant (110).png,malignant (12).png,malignant,malignant,4
malignant (114).png,malignant (123).png,malignant,malignant,4
malignant (114).png,malignant (14).png,malignant,malignant,4
malignant (116).png,malignant (18).png,malignant,malignant,0
malignant (118).png,malignant (119).png,malignant,malignant,4
malignant (123).png,malignant (14).png,malignant,malignant,2
malignant (17).png,malignant (88).png,malignant,malignant,2
malignant (4).png,malignant (5).png,malignant,malignant,2
malignant (8).png,malignant (9).png,malignant,malignant,0
malignant (96).png,malignant (97).png,malignant,malignant,2
normal (104).png,normal (107).png,normal,normal,0
normal (119).png,normal (30).png,normal,normal,2
normal (121).png,normal (31).png,normal,normal,0
normal (122).png,normal (25).png,normal,normal,2
normal (123).png,normal (29).png,normal,normal,2
normal (124).png,normal (27).png,normal,normal,2
normal (125).png,normal (22).png,normal,normal,0
normal (126).png,normal (28).png,normal,normal,4
normal (127).png,normal (32).png,normal,normal,4
normal (128).png,normal (24).png,normal,normal,2
normal (129).png,normal (35).png,normal,normal,2
normal (13).png,normal (5).png,normal,normal,2
normal (130).png,normal (26).png,normal,normal,2
normal (131).png,normal (19).png,normal,normal,2
normal (21).png,normal (63).png,normal,normal,2
normal (21).png,normal (64).png,normal,normal,2
normal (38).png,normal (43).png,normal,normal,2
normal (38).png,normal (50).png,normal,normal,2
normal (38).png,normal (53).png,normal,normal,2
normal (39).png,normal (48).png,normal,normal,4
normal (39).png,normal (56).png,normal,normal,4
normal (40).png,normal (46).png,normal,normal,4
normal (40).png,normal (59).png,normal,normal,2
normal (41).png,normal (44).png,normal,normal,2
normal (41).png,normal (47).png,normal,normal,2
normal (41).png,normal (61).png,normal,normal,4
normal (42).png,normal (45).png,normal,normal,2
normal (42).png,normal (49).png,normal,normal,2
normal (42).png,normal (62).png,normal,normal,2
normal (43).png,normal (50).png,normal,normal,0
normal (43).png,normal (53).png,normal,normal,4
normal (44).png,normal (47).png,normal,normal,2
normal (44).png,normal (61).png,normal,normal,4
normal (45).png,normal (49).png,normal,normal,0
normal (45).png,normal (62).png,normal,normal,0
normal (46).png,normal (59).png,normal,normal,4
normal (47).png,normal (61).png,normal,normal,4
normal (48).png,normal (56).png,normal,normal,4
normal (49).png,normal (62).png,normal,normal,0
normal (50).png,normal (53).png,normal,normal,4
normal (51).png,normal (52).png,normal,normal,4
normal (51).png,normal (54).png,normal,normal,2
normal (52).png,normal (54).png,normal,normal,2
normal (55).png,normal (67).png,normal,normal,4
normal (55).png,normal (68).png,normal,normal,2
normal (57).png,normal (67).png,normal,normal,4
normal (57).png,normal (68).png,normal,normal,4
normal (58).png,normal (60).png,normal,normal,0
normal (58).png,normal (69).png,normal,normal,2
normal (60).png,normal (69).png,normal,normal,2
normal (63).png,normal (64).png,normal,normal,0
normal (67).png,normal (68).png,normal,normal,4
normal (97).png,normal (98).png,normal,normal,0
